GEL-Stomach_common_SBS93+121	GEL-Stomach_common_SBS17	GEL-Stomach_common_SBS13	GEL-Stomach_common_SBS5	GEL-Stomach_common_SBS3+8	GEL-Stomach_common_SBS18+100	GEL-Stomach_common_SBS18	GEL-Stomach_common_SBS1	GEL-Stomach_rare_SBS112	GEL-Stomach_rare_SBS106	GEL-Stomach_rare_SBS95	GEL-Stomach_rare_SBS44	unassigned
GEL-2021145-11	1702.98255993415	7826.22865006688	0	0	0	0	2341.72587200329	4182.04573515794	0	0	0	0	3362.01718283774
GEL-2250530-11	1463.19670781893	8009.60274348423	0	1129.37997256516	0	1185.34924554184	971.966392318244	1149.86872427984	0	0	0	0	662.636213991756
GEL-2222440-11	414.185317815577	0	0	836.874440465533	402.179946284691	592.264995523724	1092.98903312444	871.389883616831	0	0	0	0	260.116383169204
GEL-2394022-11	0	0	0	394.949209206635	0	0	943.378680725215	796.897518323261	0	993.872187218722	0	0	758.902404526167
GEL-2173996-11	2573.44197163408	0	2163.9512052132	2039.95400121761	12265.2234323209	0	0	0	0	0	0	0	3131.42938961421
GEL-2292376-11	4756.99533742331	2511.14993865031	1232.59190184049	1422.95165644172	0	0	1167.14012269939	1429.94650306748	0	0	0	0	1731.2245398773
GEL-2578309-11	2258.30237166293	20338.2321280452	0	0	2488.48608337685	0	2677.63704648091	1849.47608368407	0	0	0	0	2964.86628675004
GEL-2047055-11	1575.92908886389	0	0	2445.88994375703	0	1096.95064116985	2781.87482564679	2469.88886389201	0	0	0	0	741.46663667043
GEL-2082943-11	0	7012.66668677061	0	2879.84439552486	0	1372.76258255179	2293.95193148578	2094.97904164531	0	0	0	0	965.79536202165
GEL-2714283-11	0	8864.91872623574	0	0	0	0	10371.3493346008	3332.1644486692	0	0	0	0	2703.56749049426
GEL-2935241-11	4636.18362676878	24411.6704805492	0	2555.44762527437	0	0	2484.9904263765	4530.24798019894	0	0	0	0	4181.45986083221
GEL-2473088-11	0	0	2856.81125687685	0	933.90937670032	1545.3320839127	1925.40565866634	0	0	0	0	0	1021.54162384379
GEL-2505316-11	1361.31250829463	0	2103.25534173855	3297.46811546118	4090.44140676841	1603.95733244857	2126.26907763769	0	0	0	0	0	496.29621765097
GEL-2248970-11	1046.22160323408	820.565963320844	0	0	2518.73723131532	0	869.59978308026	4045.29013015184	0	0	0	0	848.585288897655
GEL-2091789-11	1819.1315669947	16336.6620068971	0	0	2415.50253175204	5045.13826225923	0	0	0	0	0	0	4124.56563209693
GEL-2195242-11	2256.27937400994	1656.36980390015	0	2465.57338722893	1670.35603867373	6788.81845742066	1748.27934669798	0	0	0	0	0	1703.32359206861
GEL-2437709-11	2902.25518369357	9603.84442763933	2726.23970735654	2595.22818803749	7119.62600024621	0	0	0	0	0	0	0	3485.80649302686
GEL-2758277-11	0	6093.26156701578	1542.83865835874	2359.81227628265	1215.44849529365	1387.15312209996	3730.94630783508	2550.53957311415	0	0	0	0	0
GEL-2039842-11	1028.09694187538	4392.64159859583	0	0	0	1453.22351988119	2987.87551475056	3271.12671302235	0	0	0	0	1667.03571187469
GEL-2273944-11	0	0	0	721.240214024218	1198.04336806533	418.460152069839	542.187552802028	631.210926499578	0	0	0	0	60.8577865390071
GEL-2528684-11	2775.90247648301	12326.3288539067	2356.3125999872	3519.44778268382	4557.40698790555	0	4211.42058616497	0	0	0	0	0	1551.18071286875
GEL-2948596-11	0	1691.73650272349	0	0	3696.14706824736	867.595602371035	1852.06936879205	2674.71183114386	0	0	0	0	1688.7396267222
GEL-2470986-11	0	4356.38886799549	948.451798921901	1947.32129873386	1687.24583176633	1687.24583176633	0	3479.81973172872	0	0	0	0	1821.52663908737
