GEL-Stomach_common_SBS93+121	GEL-Stomach_common_SBS17	GEL-Stomach_common_SBS13	GEL-Stomach_common_SBS5	GEL-Stomach_common_SBS3+8	GEL-Stomach_common_SBS18+100	GEL-Stomach_common_SBS18	GEL-Stomach_common_SBS1	GEL-Stomach_rare_SBS112	GEL-Stomach_rare_SBS106	GEL-Stomach_rare_SBS95	GEL-Stomach_rare_SBS44	unassigned
GEL-2447399-11	0	1229.76100067009	1906.38052267143	1625.29229394684	1177.55890104981	3641.59839178021	1209.68327004691	0	0	0	0	0	445.72561983471
GEL-2595254-11	1746.75967778026	1506.13716715149	0	2353.30812262251	6271.66099798613	1012.41172521817	1373.34549116133	918.558961736406	0	0	0	0	434.817856343705
GEL-2636115-11	0	6411.44859000773	908.693471542622	1999.22582410507	1440.18397501932	2762.64856425444	1230.29281483389	0	0	0	0	0	808.506760236929
GEL-2438994-11	550.663708086785	366.941814595661	0	1434.63708086785	1246.89940828402	1075.22485207101	0	1002.43885601578	0	0	0	0	431.194280078894
GEL-2658395-11	9841.76821628751	27300.85703688	0	0	0	0	0	0	0	0	0	0	5318.37474683249
GEL-2417184-11	0	7954.38455507644	0	0	932.548569188554	1312.66076048608	0	938.042963543708	0	0	0	0	1604.36315170522
GEL-2431845-11	1949.62791273402	2176.4101500851	1512.54760946929	1988.09097942132	2806.30530713291	2824.28803961009	2294.29695187993	0	0	0	0	0	590.433049667339
GEL-2130097-11	0	0	0	0	0	1717.15543898399	0	2257.65838394994	0	0	0	0	1438.18617706607
GEL-2426128-11	0	5266.67767558528	0	0	3113.79096989967	2467.67433110368	2664.66722408027	0	0	0	0	0	2074.1897993311
GEL-2702483-11	0	0	0	810.56017666544	0	0	0	261.764446080236	0	0	0	0	300.675377254324
GEL-2368909-11	3573.33738247774	6855.06562526	0	0	2757.03186621183	0	2685.00490889425	5389.51711872868	0	0	0	0	2787.0430984275
