ICGC-Colorectal_common_SBS93+121	ICGC-Colorectal_common_SBS1	ICGC-Colorectal_common_SBS18	ICGC-Colorectal_common_SBS5	ICGC-Colorectal_common_SBS17	ICGC-Colorectal_rare_SBS10a	ICGC-Colorectal_rare_SBS44	ICGC-Colorectal_rare_SBS88	ICGC-Colorectal_rare_SBS94	unassigned
31f02f48-44a4-445e-ac3d-e9bf3d8d25a2	2057.11973921648	2134.62425053845	3666.7134291868	1228.57151172944	8092.97106932883	0	0	0	0	0
b6b6e1d3-c592-4836-bdad-d53af2dbcc9a	0	7273.03751468776	5575.46238500559	1628.11297394893	2693.53251368469	0	0	0	0	266.854612673029
b2afbcba-d67d-43f1-be3b-05f3a5836ec0	0	3364.75635387941	5083.16404561377	2259.85123350973	1937.58724006857	0	0	0	0	782.64112692852
fc453f67-6623-4e8c-b519-0bd79e4d4651	1926.25042257184	4252.67611493954	5923.49551423742	0	14731.8590560395	0	0	0	0	129.718892211698
b7f2e85a-3c6a-48b7-8a4f-2dec1d85359d	1487.02579263941	4246.14002446733	1291.62819859313	2109.79299622795	694.412988072179	0	0	0	0	1.81898940354586e-12
85e29049-a5e8-49fa-a576-e113c7b2c2e3	1325.55391765645	3895.06610018309	1034.71297122201	3728.37068682221	679.296324116239	0	0	0	0	1.81898940354586e-12
2df02f2b-9f1c-4249-b3b4-b03079cd97d9	0	0	0	0	160660.769519986	2214914.32253803	0	0	0	64170.907941984
42d20028-0ddc-4dac-9f05-d674f8915f21	0	0	0	0	0	0	146811.226479433	0	0	14624.773520567
d9690a27-bb02-498e-b15c-ee76e31d16ee	0	7012.34918117943	9338.60934467015	0	1129.8119036553	0	0	0	0	845.229570495118
93ff786e-0165-4b02-8d27-806d422e93fc	0	0	0	0	0	902049.277232533	0	0	0	60082.722767467
05780d48-80e7-4d70-b00c-081f8a9519f2	0	11796.5394499466	0	0	6090.06914325687	0	77201.3914067965	0	0	2.91038304567337e-11
154f80bd-984c-4792-bb89-20c4da0c08e0	0	0	0	0	0	241165.319027842	0	0	0	18842.680972158
f38b5d2e-5cab-45c7-bb0a-38b2efc5c156	1738.62045209903	2330.45941872982	1209.10656620022	4758.14596340151	1543.66759956943	0	0	0	0	0
6051f40a-99e5-4461-9255-0e70d757b4d5	3151.55714474031	0	0	6211.06881096757	19453.6117848669	0	0	0	0	1542.76225942522
2cdc4cce-0877-4ec1-85f5-20c909912e65	0	3793.17798461807	6698.39953679427	0	0	0	0	0	0	943.422478587661
a64000df-16e5-4b88-865f-5c680adf60eb	675.64917325665	3244.11329978433	2014.98030194105	761.912868439971	0	0	0	0	0	239.344356577999
4019c219-c51e-479f-8a9d-cfa6816ed696	4513.58806655192	5471.63740676994	5588.70453241538	0	4935.32989099254	0	0	0	0	1290.74010327022
3c019b2f-52ec-40a8-99b5-98c1423ce627	5753.88603325034	5831.90482692153	2789.67199421733	2690.14802023934	1615.38912537146	0	0	0	0	0
9e5f0a23-e184-4611-b42b-e882dcf23acd	3925.19444293256	3688.41125564687	3302.44965438415	6298.03230283568	1180.91234420073	0	0	0	0	1.09139364212751e-11
d3daf373-1485-455e-a0a1-8e33d215d623	0	4980.00010037137	1964.80277024992	4077.09073572217	3178.68091940179	0	0	0	0	742.425474254751
6ca5c1bb-275b-4d05-948a-3c6c7d03fab9	0	85293	0	0	0	709037	0	0	0	0
66701395-5a53-41bb-866b-3bbf08bc33ab	1297.71038229213	6622.97012202538	2724.84201564844	1360.67207199903	0	0	0	0	0	319.805408035019
428c100f-d7d0-4860-a8fc-2bae6a4bba95	1348.69320446393	3565.36717815863	2292.12883618972	2787.83230370666	5050.97847748107	0	0	0	0	0
03cff38d-7e29-4409-a508-749bddb1b3df	11604.2246750684	0	2229.02909583016	1954.08057740562	0	0	0	0	0	1911.66565169582
aa06ae46-2336-4666-a3af-fc790daf8da4	1814.26466297053	4302.12758972863	1901.7774292384	4796.69973737963	895.130580682813	0	0	0	0	0
14c5b81d-da49-4db1-9834-77711c2b1d38	0	0	0	0	126657.814238275	2281828.6219822	0	0	0	25277.563779525
7d59205a-65ec-4341-9748-28639d82ed29	1391.42399082318	5448.20238160267	1081.94089692467	835.454361719561	0	0	0	0	0	395.978368929918
